"d-inline-block href","img-fluid src","shipping-free-label","product-title","product-brand","product-main-price","price-discount","price-dicount-text","text_discount_avista_list_products","product-price-simulator","product-price-simulator 2","product-price-simulator 3","product-price-simulator 4","product-price-simulator 5","d-block","product-price-discount","product-price-discount 2","btn","btn href","shipping-free-label 2"
"https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-feltro-verde-agua-17754","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(fff):quality(80)/protecho/catalog/mantabootsimpactpad/manta-impact-pad-flex-la-verde-agua.jpg","Frete grátis","Manta Boots Horse Tambor Impact Pad Flexível - Qua...","Boots Horse","R$ 650,00","R$ 585,00","à vista","no Pix","em","R$ 650,00","9x","de","R$ 72,22","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-feltro-verde-agua-17754",""
"https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-feltro-vermelho-17755","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(fff):quality(80)/protecho/catalog/mantabootsimpactpad/manta-impact-pad-fundo-feltro.jpg","Frete grátis","Manta Boots Horse Tambor Impact Pad Flexível - Qua...","Boots Horse","R$ 650,00","R$ 585,00","à vista","no Pix","em","R$ 650,00","9x","de","R$ 72,22","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-feltro-vermelho-17755",""
"https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-la-marrom-17756","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(transparent):quality(80)/protecho/catalog/mantabootsimpactpad/manta-impact-pad-flexivel-marrom-cortada-de-feltro.png","Frete grátis","Manta Boots Horse Tambor Impact Pad Flexível - Qua...","Boots Horse","R$ 680,00","R$ 612,00","à vista","no Pix","em","R$ 680,00","9x","de","R$ 75,56","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-la-marrom-17756",""
"https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-la-preto-17757","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(fff):quality(80)/protecho/catalog/mantabootsimpactpad/manta-impact-pad-flex-la-preta.jpg","Frete grátis","Manta Boots Horse Tambor Impact Pad Flexível - Qua...","Boots Horse","R$ 680,00","R$ 612,00","à vista","no Pix","em","R$ 680,00","9x","de","R$ 75,56","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-la-preto-17757",""
"https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-la-rosa-17758","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(fff):quality(80)/protecho/catalog/mantabootsimpactpad/manta-impact-pad-flex-la-rosa.jpg","Frete grátis","Manta Boots Horse Tambor Impact Pad Flexível - Qua...","Boots Horse","R$ 680,00","R$ 612,00","à vista","no Pix","em","R$ 680,00","9x","de","R$ 75,56","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-la-rosa-17758",""
"https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-la-roxo-17759","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(fff):quality(80)/protecho/catalog/mantabootsimpactpad/manta-impact-pad-flex-la-roxa.jpg","Frete grátis","Manta Boots Horse Tambor Impact Pad Flexível - Qua...","Boots Horse","R$ 680,00","R$ 612,00","à vista","no Pix","em","R$ 680,00","9x","de","R$ 75,56","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-la-roxo-17759",""
"https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-la-azul-royal-17760","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(fff):quality(80)/protecho/catalog/mantabootsimpactpad/manta-impact-pad-flex-la-royal.jpg","Frete grátis","Manta Boots Horse Tambor Impact Pad Flexível - Qua...","Boots Horse","R$ 680,00","R$ 612,00","à vista","no Pix","em","R$ 680,00","9x","de","R$ 75,56","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-la-azul-royal-17760",""
"https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-la-verde-17761","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(fff):quality(80)/protecho/catalog/mantabootsimpactpad/manta-impact-pad-flex-la-verde.jpg","Frete grátis","Manta Boots Horse Tambor Impact Pad Flexível - Qua...","Boots Horse","R$ 680,00","R$ 612,00","à vista","no Pix","em","R$ 680,00","9x","de","R$ 75,56","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-la-verde-17761",""
"https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-la-verde-agua-17762","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(fff):quality(80)/protecho/catalog/mantabootsimpactpad/manta-impact-pad-flex-la-verde-agua.jpg","Frete grátis","Manta Boots Horse Tambor Impact Pad Flexível - Qua...","Boots Horse","R$ 680,00","R$ 612,00","à vista","no Pix","em","R$ 680,00","9x","de","R$ 75,56","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-la-verde-agua-17762",""
"https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-la-vermelho-17763","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(fff):quality(80)/protecho/catalog/mantabootsimpactpad/manta-impact-pad-flex-la-vermelha.jpg","Frete grátis","Manta Boots Horse Tambor Impact Pad Flexível - Qua...","Boots Horse","R$ 680,00","R$ 612,00","à vista","no Pix","em","R$ 680,00","9x","de","R$ 75,56","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-la-vermelho-17763",""
"https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-quadrada-feltro-marrom-17764","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(transparent):quality(80)/protecho/catalog/mantabootsimpactpad/manta-impact-pad-marrom.png","Frete grátis","Manta Boots Horse Tambor Impact Pad - Quadrada Fel...","Boots Horse","R$ 650,00","R$ 585,00","à vista","no Pix","em","R$ 650,00","9x","de","R$ 72,22","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-quadrada-feltro-marrom-17764",""
"https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-quadrada-feltro-preto-17765","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(transparent):quality(80)/protecho/catalog/mantabootsimpactpad/manta-impact-pad-preta.png","Frete grátis","Manta Boots Horse Tambor Impact Pad - Quadrada Fel...","Boots Horse","R$ 650,00","R$ 585,00","à vista","no Pix","em","R$ 650,00","9x","de","R$ 72,22","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-quadrada-feltro-preto-17765",""
"https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-quadrada-feltro-rosa-17766","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(transparent):quality(80)/protecho/catalog/mantabootsimpactpad/manta-impact-pad-rosa.png","Frete grátis","Manta Boots Horse Tambor Impact Pad - Quadrada Fel...","Boots Horse","R$ 650,00","R$ 585,00","à vista","no Pix","em","R$ 650,00","9x","de","R$ 72,22","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-quadrada-feltro-rosa-17766",""
"https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-quadrada-feltro-roxo-17767","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(fff):quality(80)/protecho/catalog/mantabootsimpactpad/3d7d83eb-5759-4004-9b43-a7ca918704ea.jpg","Frete grátis","Manta Boots Horse Tambor Impact Pad - Quadrada Fel...","Boots Horse","R$ 650,00","R$ 585,00","à vista","no Pix","em","R$ 650,00","9x","de","R$ 72,22","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-quadrada-feltro-roxo-17767",""
"https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-quadrada-feltro-azul-royal-17768","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(transparent):quality(80)/protecho/catalog/mantabootsimpactpad/manta-impact-pad-royal-2.png","Frete grátis","Manta Boots Horse Tambor Impact Pad - Quadrada Fel...","Boots Horse","R$ 650,00","R$ 585,00","à vista","no Pix","em","R$ 650,00","9x","de","R$ 72,22","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-quadrada-feltro-azul-royal-17768",""
